rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
225,University of Miami,16479,10.3,16%,53.49,45.2,32.1,75.9,47.5,59.5,2022
226,University of Münster,28539,25.5,7%,53.44,40.3,41.5,80.7,48.1,48.7,2022
227,University of Otago,18690,20.5,21%,53.39,31.3,34.7,77.5,39.6,90.1,2022
228,University of Padua,48651,21.9,8%,53.34,41.3,33.8,80.3,40.9,49.4,2022
229,Queen’s University Belfast,18485,16.0,37%,53.29,29.3,36.3,80.3,41.3,97.2,2022
230,RCSI University of Medicine and Health Sciences,2488,24.9,66%,53.24,29.2,35.3,84.0,52.6,94.9,2022
231,University of Reading,15435,15.8,31%,53.19,35.9,36.7,78.8,40.4,92.6,2022
232,"St George’s, University of London",3485,13.4,21%,53.14,21.8,29.0,99.1,39.8,77.4,2022
233,Sant’Anna School of Advanced Studies – Pisa,706,10.3,21%,53.09,46.4,40.6,70.5,89.2,57.8,2022
234,University of São Paulo,82323,16.5,3%,53.04,55.8,58.9,43.3,42.3,35.9,2022
235,Simon Fraser University,27015,27.9,31%,52.99,27.7,35.0,81.5,49.0,92.1,2022
236,University of South Florida,39779,21.4,13%,52.94,30.2,35.9,85.8,91.2,55.1,2022
237,University of St Andrews,9500,12.2,47%,52.89,45.2,43.8,60.2,37.7,95.5,2022
238,University of Surrey,14455,16.0,36%,52.84,31.5,34.7,75.0,43.0,94.6,2022
239,Taipei Medical University,6140,9.9,10%,52.8,46.9,33.0,73.4,96.9,42.9,2022
240,Tel Aviv University,22809,22.2,7%,52.75,40.6,51.7,68.4,43.1,56.4,2022
241,Tilburg University,9944,24.8,18%,52.7,36.0,49.4,63.3,51.0,81.9,2022
242,Tohoku University,17888,12.2,14%,52.65,56.6,58.7,37.8,97.2,49.5,2022
243,University of Twente,8981,14.9,37%,52.61,37.9,46.8,57.0,86.9,93.8,2022
244,University College Dublin,23066,23.0,31%,52.56,32.2,39.0,71.8,48.7,93.6,2022
245,Vita-Salute San Raffaele University,3114,10.6,4%,52.51,37.6,22.5,98.6,36.0,42.8,2022
246,University of Waterloo,33613,23.8,22%,52.46,35.6,43.2,67.7,47.1,87.1,2022
247,Western University,28301,28.5,22%,52.42,39.9,39.0,72.6,80.2,85.6,2022
248,Western Sydney University,35766,37.8,23%,52.37,26.2,30.5,88.7,42.4,87.9,2022
249,University of Wollongong,18222,30.2,30%,52.33,30.8,37.6,77.3,55.8,94.7,2022
250,Australian Catholic University,23750,42.9,15%,52.28,19.5,27.5,95.9,36.6,80.2,2022
251,Beijing Normal University,23424,14.5,12%,52.23,47.2,41.0,56.0,71.1,45.7,2022
252,Boston College,12958,15.1,12%,52.19,47.5,34.6,64.4,35.1,46.4,2022
253,Brandeis University,5425,12.2,28%,52.14,28.2,21.7,99.0,35.6,57.5,2022
254,University at Buffalo,27114,17.9,16%,52.1,37.9,33.4,71.4,47.4,64.8,2022
255,"University of California, Riverside",23155,17.7,14%,52.05,30.5,29.7,84.1,40.9,65.0,2022
256,Chalmers University of Technology,9573,13.8,18%,52.01,31.8,42.8,63.3,65.5,77.5,2022
257,University of Colorado Denver/Anschutz Medical Campus,17224,3.9,8%,51.96,35.1,19.4,94.8,42.0,31.0,2022
258,Curtin University,30221,20.7,32%,51.92,25.2,32.6,82.5,43.5,95.5,2022
259,Dalhousie University,16077,13.8,28%,51.87,27.6,29.7,77.5,43.3,89.0,2022
260,Deakin University,42675,33.6,28%,51.83,26.5,32.3,79.3,42.8,89.2,2022
261,University of Duisburg-Essen,41728,45.0,19%,51.79,32.9,33.5,80.3,67.2,61.1,2022
262,Heinrich Heine University Düsseldorf,29297,36.1,12%,51.74,34.9,32.0,78.6,43.7,59.6,2022
263,École des Ponts ParisTech,2096,11.7,45%,51.7,31.9,22.2,87.4,59.6,83.8,2022
264,Flinders University,16976,28.2,36%,51.65,25.5,31.0,83.3,40.7,89.9,2022
265,Florida State University,39380,24.7,7%,51.61,39.0,38.0,70.1,40.8,47.3,2022
266,George Mason University,31652,18.2,11%,51.57,32.0,28.5,84.9,36.0,48.5,2022
267,University of Hawai’i at Mānoa,14789,10.7,11%,51.53,36.5,39.9,67.1,39.1,66.9,2022
268,Howard University,8453,8.0,8%,51.48,43.9,16.1,95.7,34.8,35.4,2022
269,University of Iowa,29591,11.5,9%,51.44,40.6,29.6,77.6,48.6,47.4,2022
270,James Cook University,10794,20.1,12%,51.4,25.4,29.9,88.6,45.5,78.7,2022
271,University of Kiel,27750,22.5,9%,51.35,30.3,31.1,85.0,34.8,57.7,2022
272,Kyung Hee University,20599,17.5,25%,51.31,35.5,40.5,64.6,89.7,63.7,2022
273,Lappeenranta-Lahti University of Technology LUT,4333,29.6,15%,51.27,27.8,31.3,84.1,54.9,61.2,2022
274,Université Laval,28662,17.1,14%,51.23,38.9,34.8,67.7,66.4,71.0,2022
275,Linköping University,15873,14.6,14%,51.19,24.8,38.4,77.9,60.7,69.0,2022
276,University of Luxembourg,4890,19.1,52%,51.15,33.0,39.2,65.7,47.3,99.5,2022
277,Macau University of Science and Technology,11113,25.7,88%,51.1,30.3,22.8,82.3,46.4,99.9,2022
278,University of Navarra,11545,14.7,26%,51.06,28.7,29.3,85.1,65.9,71.7,2022
279,University of Newcastle,23706,29.0,19%,51.02,27.1,33.2,78.9,61.4,85.6,2022
280,University of New Mexico (Main campus),19227,17.5,5%,50.98,39.4,29.1,80.1,42.8,34.1,2022
281,Oregon Health and Science University,3017,1.0,3%,50.94,35.8,17.7,99.1,52.6,28.6,2022
282,University of Oulu,9756,25.1,6%,50.9,30.6,35.1,76.2,51.6,57.1,2022
283,University of Potsdam,14844,41.1,14%,50.86,38.4,43.0,65.0,66.0,59.3,2022
284,Queen’s University,25289,25.9,16%,50.82,40.0,38.0,60.2,79.1,71.1,2022
