rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n,rank_n
243.0,University College Dublin,22081.0,0.24,0.27,52.1,30.7,36.6,76.4,40.6,91.3,2019,0.54,0.32,0.37,0.76,0.41,0.91,0.02,0.03,0.32,2020,-1,0.1
784.0,University of Wolverhampton,15470.0,0.2,0.21,38.68,15.0,13.0,41.8,34.1,65.4,2019,0.4,0.16,0.13,0.42,0.34,0.66,0.01,0.02,0.25,2015,4,0.34
238.0,University of South Australia,17465.0,0.26,0.44,52.34,30.5,37.1,68.1,79.7,92.9,2019,0.55,0.32,0.37,0.68,0.8,0.93,0.01,0.03,0.52,2015,4,0.1
321.0,La Trobe University,21203.0,0.35,0.28,48.91,25.2,32.5,65.4,54.1,81.7,2019,0.51,0.27,0.33,0.65,0.54,0.82,0.02,0.04,0.33,2015,4,0.14
149.0,University of Nottingham,29430.0,0.15,0.3,57.2,42.7,42.8,80.0,40.8,86.8,2019,0.6,0.45,0.43,0.8,0.41,0.87,0.02,0.02,0.36,2021,-2,0.06
351.0,Aberystwyth University,7165.0,0.16,0.18,47.89,26.2,24.0,67.8,37.9,75.0,2019,0.5,0.28,0.24,0.68,0.38,0.75,0.01,0.02,0.21,2021,-2,0.15
29.0,University of Edinburgh,28155.0,0.13,0.41,79.8,69.2,73.7,96.8,38.2,93.3,2019,0.83,0.73,0.74,0.97,0.38,0.93,0.02,0.02,0.49,2017,2,0.01
774.0,Ulster University,17920.0,0.19,0.08,38.82,19.8,18.2,39.5,35.2,75.3,2019,0.4,0.21,0.18,0.4,0.35,0.75,0.01,0.02,0.1,2020,-1,0.33
201.0,University of Auckland,30041.0,0.18,0.3,54.28,30.1,40.7,76.5,61.6,91.7,2019,0.57,0.32,0.41,0.76,0.62,0.92,0.02,0.02,0.36,2018,1,0.09
423.0,University of Georgia,34707.0,0.17,0.08,45.75,33.6,32.1,59.0,36.6,43.9,2019,0.48,0.36,0.32,0.59,0.37,0.44,0.02,0.02,0.1,2020,-1,0.18
307.0,Boston College,13035.0,0.16,0.14,49.42,36.1,25.3,72.3,45.2,57.6,2019,0.51,0.38,0.25,0.72,0.45,0.58,0.01,0.02,0.17,2015,4,0.13
396.0,York University,46220.0,0.42,0.24,46.51,31.0,41.3,47.9,42.5,75.3,2019,0.48,0.33,0.42,0.48,0.42,0.75,0.03,0.05,0.29,2019,0,0.17
170.0,University of Leicester,14710.0,0.14,0.36,55.6,30.5,33.8,95.2,37.3,91.2,2019,0.58,0.32,0.34,0.95,0.37,0.91,0.01,0.02,0.43,2016,3,0.07
45.0,McGill University,31060.0,0.13,0.28,73.7,64.1,69.4,86.3,42.3,89.4,2019,0.77,0.68,0.7,0.86,0.42,0.9,0.02,0.02,0.33,2020,-1,0.02
276.0,University of Newcastle,22921.0,0.22,0.17,49.68,28.0,26.9,73.0,62.9,79.9,2018,0.53,0.31,0.27,0.73,0.63,0.8,0.01,0.03,0.2,2021,-3,0.12
228.0,University of Ottawa,35177.0,0.26,0.17,51.86,37.6,37.5,69.1,40.2,73.6,2018,0.55,0.42,0.38,0.69,0.4,0.74,0.02,0.03,0.2,2021,-3,0.1
141.0,University of Birmingham,27060.0,0.15,0.27,56.8,36.5,38.3,89.7,37.2,86.3,2018,0.6,0.4,0.38,0.9,0.37,0.86,0.01,0.02,0.32,2023,-5,0.06
97.0,Durham University,16310.0,0.15,0.29,60.8,44.8,47.9,84.6,36.8,89.0,2018,0.64,0.5,0.48,0.85,0.37,0.89,0.01,0.02,0.35,2020,-2,0.04
564.0,University of Portsmouth,19095.0,0.16,0.27,41.55,19.1,14.3,57.1,32.1,83.1,2018,0.44,0.21,0.14,0.57,0.32,0.83,0.01,0.02,0.32,2021,-3,0.24
604.0,Auburn University,23186.0,0.18,0.05,40.77,31.8,20.2,30.9,38.9,33.2,2018,0.43,0.35,0.2,0.31,0.39,0.33,0.01,0.02,0.06,2019,-1,0.26
247.0,University College Dublin,21605.0,0.23,0.26,50.95,29.2,37.5,74.0,38.1,89.3,2018,0.54,0.32,0.38,0.74,0.38,0.89,0.01,0.03,0.31,2020,-2,0.11
238.0,University of South Australia,17575.0,0.26,0.41,51.37,31.5,36.3,63.3,81.6,91.8,2018,0.54,0.35,0.36,0.63,0.82,0.92,0.01,0.03,0.49,2015,3,0.1
372.0,La Trobe University,20343.0,0.34,0.26,46.29,27.1,33.0,49.8,58.1,79.5,2018,0.49,0.3,0.33,0.5,0.58,0.8,0.01,0.04,0.31,2015,3,0.16
148.0,University of Nottingham,29175.0,0.14,0.3,56.2,40.5,41.9,80.5,38.5,84.4,2018,0.6,0.45,0.42,0.8,0.38,0.85,0.02,0.02,0.36,2021,-3,0.06
299.0,Aberystwyth University,7920.0,0.18,0.18,48.77,24.2,25.5,76.7,36.6,74.9,2018,0.52,0.27,0.26,0.77,0.37,0.75,0.0,0.02,0.21,2021,-3,0.13
27.0,University of Edinburgh,26760.0,0.12,0.4,79.2,66.8,74.2,97.0,36.3,92.0,2018,0.84,0.74,0.75,0.97,0.36,0.92,0.01,0.01,0.48,2017,1,0.01
587.0,Ulster University,18550.0,0.15,0.08,41.1,21.0,15.6,50.6,33.0,72.0,2018,0.44,0.23,0.16,0.51,0.33,0.72,0.01,0.02,0.1,2020,-2,0.25
192.0,University of Auckland,30348.0,0.19,0.29,52.5,32.5,40.7,73.8,67.3,90.6,2018,0.56,0.36,0.41,0.74,0.67,0.91,0.02,0.02,0.35,2018,0,0.08
363.0,University of Georgia,33842.0,0.16,0.07,46.57,30.1,32.3,60.7,34.3,42.6,2018,0.49,0.33,0.32,0.61,0.34,0.43,0.02,0.02,0.08,2020,-2,0.16
306.0,Boston College,12943.0,0.16,0.12,48.51,37.0,20.0,74.1,43.8,53.8,2018,0.51,0.41,0.2,0.74,0.44,0.54,0.01,0.02,0.14,2015,3,0.13
398.0,York University,46146.0,0.41,0.23,45.52,30.5,40.9,47.9,37.2,73.9,2018,0.48,0.34,0.41,0.48,0.37,0.74,0.03,0.05,0.27,2019,-1,0.17
159.0,University of Leicester,14635.0,0.14,0.38,55.0,32.2,34.5,91.4,35.2,89.9,2018,0.58,0.36,0.35,0.91,0.35,0.9,0.01,0.02,0.45,2016,2,0.07
42.0,McGill University,30940.0,0.13,0.26,73.2,63.4,70.8,84.7,39.8,87.5,2018,0.78,0.7,0.71,0.85,0.4,0.88,0.02,0.02,0.31,2020,-2,0.02
227.0,University of Newcastle,23838.0,0.23,0.18,50.82,29.3,28.5,73.5,63.7,79.8,2017,0.53,0.31,0.29,0.74,0.64,0.8,0.02,0.04,0.21,2021,-4,0.1
280.0,University of Ottawa,34946.0,0.25,0.15,48.33,38.1,21.0,67.5,41.5,71.8,2017,0.51,0.4,0.21,0.68,0.42,0.72,0.02,0.04,0.18,2021,-4,0.12
130.0,University of Birmingham,26360.0,0.17,0.25,57.6,38.6,42.4,86.8,38.0,84.2,2017,0.61,0.4,0.43,0.87,0.38,0.84,0.02,0.03,0.3,2023,-6,0.06
96.0,Durham University,15705.0,0.15,0.26,60.6,43.0,49.0,85.0,37.4,87.0,2017,0.64,0.45,0.49,0.85,0.37,0.87,0.01,0.03,0.31,2020,-3,0.04
467.0,University of Portsmouth,18950.0,0.16,0.25,42.26,16.7,13.2,61.8,32.6,82.4,2017,0.44,0.17,0.13,0.62,0.33,0.82,0.01,0.03,0.3,2021,-4,0.2
603.0,Auburn University,22282.0,0.18,0.05,39.23,31.7,18.3,24.2,40.0,30.9,2017,0.41,0.33,0.18,0.24,0.4,0.31,0.02,0.03,0.06,2019,-2,0.26
211.0,University College Dublin,21438.0,0.23,0.25,51.69,31.5,37.8,72.5,37.4,88.1,2017,0.54,0.33,0.38,0.72,0.37,0.88,0.02,0.04,0.3,2020,-3,0.09
285.0,University of South Australia,19996.0,0.3,0.33,48.12,29.9,29.9,58.4,82.9,90.1,2017,0.51,0.31,0.3,0.58,0.83,0.9,0.01,0.05,0.39,2015,2,0.12
374.0,La Trobe University,22422.0,0.3,0.25,44.9,26.7,29.7,49.0,45.5,78.7,2017,0.47,0.28,0.3,0.49,0.46,0.79,0.02,0.05,0.3,2015,2,0.16
148.0,University of Nottingham,29740.0,0.15,0.28,55.5,41.0,41.3,78.9,39.8,81.6,2017,0.58,0.43,0.42,0.79,0.4,0.82,0.02,0.03,0.33,2021,-4,0.06
300.0,Aberystwyth University,8735.0,0.17,0.18,47.51,20.5,21.3,77.5,34.9,75.1,2017,0.5,0.21,0.21,0.78,0.35,0.75,0.01,0.03,0.21,2021,-4,0.13
27.0,University of Edinburgh,25280.0,0.12,0.37,79.2,67.5,74.7,96.0,35.0,91.5,2017,0.83,0.71,0.75,0.96,0.35,0.92,0.02,0.02,0.44,2017,0,0.01
582.0,Ulster University,17660.0,0.14,0.07,39.65,18.7,15.3,49.5,33.1,70.7,2017,0.42,0.2,0.15,0.5,0.33,0.71,0.01,0.02,0.08,2020,-3,0.25
166.0,University of Auckland,30287.0,0.19,0.29,53.4,32.8,40.8,75.8,70.5,90.5,2017,0.56,0.34,0.41,0.76,0.7,0.91,0.02,0.03,0.35,2018,-1,0.07
317.0,University of Georgia,33241.0,0.2,0.07,46.86,33.0,35.0,57.2,34.9,41.7,2017,0.49,0.35,0.35,0.57,0.35,0.42,0.02,0.03,0.08,2020,-3,0.14
