rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
269,Kyung Hee University,20862,0.18,0.23,51.58,37.0,41.4,63.9,85.3,63.5,2021,0.54,0.39,0.42,0.64,0.85,0.64,0.04,0.05,0.27
270,Université Laval,28874,0.17,0.13,51.54,39.4,33.5,71.4,63.9,69.8,2021,0.54,0.42,0.34,0.71,0.64,0.7,0.06,0.05,0.15
271,Macau University of Science and Technology,10596,0.25,0.84,51.5,29.7,23.6,86.3,40.3,100.0,2021,0.54,0.31,0.24,0.86,0.4,1.0,0.02,0.07,1.0
272,University of Navarra,11329,0.15,0.24,51.46,29.0,27.9,83.3,63.4,69.5,2021,0.54,0.31,0.28,0.83,0.63,0.7,0.02,0.04,0.29
273,University of Newcastle,23221,0.22,0.18,51.41,26.2,30.5,80.7,53.0,84.2,2021,0.54,0.28,0.31,0.81,0.53,0.84,0.05,0.06,0.21
274,University of New Mexico (Main campus),18277,0.16,0.05,51.37,39.8,30.2,82.3,42.3,33.5,2021,0.54,0.42,0.3,0.82,0.42,0.34,0.04,0.05,0.06
275,Nova Southeastern University,17101,0.21,0.06,51.33,38.7,11.5,99.8,33.3,29.3,2021,0.54,0.41,0.12,1.0,0.33,0.29,0.03,0.06,0.07
276,Oregon Health and Science University,2999,0.01,0.03,51.29,36.5,17.4,99.7,46.1,27.8,2021,0.54,0.39,0.17,1.0,0.46,0.28,0.01,0.0,0.04
277,University of Padua,46900,0.22,0.07,51.25,40.0,32.8,78.5,38.3,48.8,2021,0.54,0.42,0.33,0.78,0.38,0.49,0.09,0.06,0.08
278,University of Potsdam,20668,0.55,0.12,51.21,36.4,40.3,66.6,65.3,56.6,2021,0.54,0.39,0.4,0.67,0.65,0.57,0.04,0.16,0.14
279,Queen’s University,24354,0.26,0.14,51.17,40.0,36.9,64.8,58.8,68.9,2021,0.54,0.42,0.37,0.65,0.59,0.69,0.05,0.08,0.17
280,Ruhr University Bochum,42954,0.6,0.15,51.13,39.5,45.2,63.6,53.9,57.5,2021,0.53,0.42,0.45,0.64,0.54,0.57,0.08,0.18,0.18
281,Simon Fraser University,26778,0.28,0.3,51.09,25.1,34.3,77.8,47.3,91.9,2021,0.53,0.27,0.34,0.78,0.47,0.92,0.05,0.08,0.36
282,University of Southern Denmark,22544,0.13,0.14,51.05,21.1,30.2,85.2,71.1,78.4,2021,0.53,0.22,0.3,0.85,0.71,0.78,0.04,0.04,0.17
283,Southern University of Science and Technology (SUSTech),3656,0.09,0.01,51.01,25.2,35.2,84.1,97.4,59.7,2021,0.53,0.27,0.35,0.84,0.97,0.6,0.01,0.03,0.01
284,Stellenbosch University,24525,0.26,0.08,50.97,28.7,35.7,77.9,73.1,54.1,2021,0.53,0.3,0.36,0.78,0.73,0.54,0.05,0.08,0.1
285,SUNY University at Albany,16078,0.17,0.09,50.93,24.2,27.5,93.3,40.1,50.6,2021,0.53,0.26,0.28,0.93,0.4,0.51,0.03,0.05,0.11
286,Sun Yat-sen University,53734,0.16,0.08,50.89,41.7,34.9,69.7,62.3,35.6,2021,0.53,0.44,0.35,0.7,0.62,0.36,0.1,0.05,0.1
287,University of Surrey,14315,0.16,0.38,50.85,30.8,34.5,74.0,43.1,94.5,2021,0.53,0.33,0.35,0.74,0.43,0.94,0.03,0.05,0.45
288,Università della Svizzera italiana,2713,0.1,0.67,50.81,29.4,21.5,82.1,56.6,99.6,2021,0.53,0.31,0.22,0.82,0.57,1.0,0.01,0.03,0.8
289,Swansea University,17355,0.16,0.22,50.77,20.7,21.6,95.7,36.0,83.3,2021,0.53,0.22,0.22,0.96,0.36,0.83,0.03,0.05,0.26
290,University of Tartu,8735,0.12,0.1,50.73,25.6,28.3,87.8,41.7,59.3,2021,0.53,0.27,0.28,0.88,0.42,0.59,0.02,0.04,0.12
291,University College Dublin,23148,0.23,0.3,50.69,29.0,37.8,73.3,44.0,93.1,2021,0.53,0.31,0.38,0.73,0.44,0.93,0.05,0.07,0.36
292,Vita-Salute San Raffaele University,2880,0.1,0.04,50.65,36.2,21.5,96.1,34.3,43.1,2021,0.53,0.38,0.22,0.96,0.34,0.43,0.01,0.03,0.05
293,Vrije Universiteit Brussel,12041,0.3,0.23,50.61,36.6,43.0,63.3,54.8,76.3,2021,0.53,0.39,0.43,0.63,0.55,0.76,0.02,0.09,0.27
294,Wake Forest University,7804,0.04,0.1,50.58,39.1,20.5,89.1,42.2,32.6,2021,0.53,0.41,0.21,0.89,0.42,0.33,0.02,0.01,0.12
295,Western Sydney University,34750,0.38,0.2,50.54,24.4,30.9,88.0,41.6,86.7,2021,0.53,0.26,0.31,0.88,0.42,0.87,0.07,0.11,0.24
296,William & Mary,8278,0.11,0.09,50.5,46.1,19.8,84.7,34.5,38.2,2021,0.53,0.49,0.2,0.85,0.34,0.38,0.02,0.03,0.11
297,American University of Beirut,8603,0.08,0.22,50.46,29.3,15.3,87.9,35.4,78.9,2021,0.53,0.31,0.15,0.88,0.35,0.79,0.02,0.02,0.26
298,Anglia Ruskin University (ARU),18930,0.24,0.33,50.42,17.8,15.4,100.0,34.1,87.6,2021,0.53,0.19,0.15,1.0,0.34,0.88,0.04,0.07,0.39
299,Autonomous University of Madrid,29825,0.14,0.14,50.39,32.7,29.0,75.4,36.1,53.3,2021,0.53,0.35,0.29,0.75,0.36,0.53,0.06,0.04,0.17
300,Beijing Normal University,23365,0.15,0.11,50.35,46.5,41.2,54.1,69.7,43.3,2021,0.53,0.49,0.41,0.54,0.7,0.43,0.05,0.04,0.13
301,Boston College,12921,0.16,0.11,50.31,48.2,33.3,64.5,33.5,44.0,2021,0.53,0.51,0.33,0.64,0.34,0.44,0.03,0.05,0.13
